DrawDate,Match 6 Prize,Match 6 Winners,Match 6 Total,Match 5 Prize,Match 5 Winners,Match 5 Total,Match 4 Prize,Match 4 Winners,Match 4 Total,Match 4 plus Bonus Prize,Match 4 plus Bonus Winners,Match 4 plus Bonus Total,Match 3 plus Bonus Prize,Match 3 plus Bonus Winners,Match 3 plus Bonus Total,Match 5 plus Bonus Prize,Match 5 plus Bonus Winners,Match 5 plus Bonus Total,Match 3 Prize,Match 3 Winners,Match 3 Total,Match 2 plus Bonus Prize,Match 2 plus Bonus Winners,Match 2 plus Bonus Total
2023-08-05,3932614,0,0,1541,20,30820,56,892,49952,141,55,7755,24,1370,32880,139269,1,139269,9,16093,144837,3,13919,41757
2023-08-02,3490720,0,0,2261,10,22610,47,777,36519,227,25,5675,30,829,24870,87862,0,0,9,12730,114570,3,7847,23541
2023-07-29,3166605,0,0,1308,23,30084,60,814,48840,180,42,7560,30,1095,32850,50156,0,0,11,14141,155551,3,11828,35484
2023-07-26,2735469,0,0,2183,10,21830,64,552,35328,172,32,5504,30,786,23580,36405,1,36405,11,9879,108669,3,8607,25821
2023-07-22,2422539,0,0,1404,21,29484,54,885,47790,206,36,7416,31,1015,31465,133104,1,133104,9,16065,144585,3,9783,29349
2023-07-19,2000000,0,0,1629,13,21177,45,760,34200,97,55,5335,20,1158,23160,83948,0,0,8,12749,101992,3,10175,30525
2023-07-15,2418002,1,2418002,1822,16,29152,64,744,47616,229,32,7328,29,1074,31146,48628,0,0,10,13828,138280,3,11379,34137
2023-07-12,2000000,0,0,2340,9,21060,54,640,34560,129,41,5289,22,1040,22880,35122,1,35122,9,10986,98874,3,9694,29082
2023-07-08,3931066,1,3931066,1093,28,30604,41,1209,49569,89,86,7654,17,1951,33167,88830,1,88830,8,19566,156528,3,15708,47124
2023-07-05,3492537,0,0,2834,8,22672,48,773,37104,178,32,5696,24,1015,24360,37814,0,0,9,12223,110007,3,10344,31032
2023-07-01,3167495,0,0,1777,17,30209,48,1018,48864,200,38,7600,31,1071,33201,135820,1,135820,9,17189,154701,3,9891,29673
2023-06-28,2734338,0,0,998,22,21956,37,958,35446,190,29,5510,27,889,24003,85429,0,0,7,14772,103404,3,7823,23469
2023-06-24,2419545,0,0,1171,25,29275,58,818,47444,160,46,7360,27,1166,31482,48808,0,0,10,14060,140600,3,12820,38460
2023-06-21,2000000,0,0,1284,17,21828,44,804,35376,62,89,5518,18,1283,23094,12130,3,36390,8,13307,106456,3,10396,31188
2023-06-17,6373878,2,12747756,1557,27,42039,63,1093,68859,203,52,10556,26,1762,45812,61202,2,122404,11,19730,217030,3,18874,56622
2023-06-14,12145012,0,0,2239,14,31346,61,835,50935,232,34,7888,29,1164,33756,52283,0,0,10,15538,155380,3,10780,32340
2023-06-10,11695590,0,0,1936,21,40656,49,1354,66346,197,52,10244,27,1605,43335,22601,3,67803,8,24123,192984,3,16085,48255
2023-06-07,11112769,0,0,1259,23,28957,42,1127,47334,110,66,7260,20,1585,31700,418978,1,418978,7,19588,137116,3,13826,41478
2023-06-03,10697565,0,0,1336,28,37408,54,1127,60858,149,63,9387,27,1521,41067,370675,0,0,9,20708,186372,3,14496,43488
2023-05-31,10161458,0,0,1673,17,28441,67,694,46498,247,29,7163,30,1041,31230,308308,0,0,11,12942,142362,3,10743,32229
2023-05-27,9753814,0,0,1210,29,35090,54,1055,56970,173,51,8823,24,1603,38472,260885,0,0,9,18743,168687,3,16431,49293
2023-05-24,9250897,0,0,2517,11,27687,49,925,45325,193,36,6948,25,1219,30475,202378,0,0,9,15124,136116,3,11757,35271
2023-05-20,8853923,0,0,1812,19,34428,41,1381,56621,137,63,8631,23,1601,36823,156196,0,0,7,23162,162134,3,13941,41823
2023-05-17,8360275,0,0,1625,16,26000,49,864,42336,139,47,6533,22,1270,27940,98768,0,0,9,14960,134640,3,11996,35988
2023-05-13,7987569,0,0,1510,22,33220,57,955,54435,129,65,8385,25,1456,36400,55409,0,0,10,17176,171760,3,14312,42936
