No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
155,9925500,322871.40,53448.30,2899.50,138.80,60.10,59.10,20.80,19.20,11.20,8.70,7.20,11.39
154,9892500,0,25982,3275,138,59.80,54.30,20.20,17.90,11.40,8.30,7.20,9.50
153,9931500,0,47776.40,1619.90,119.20,63.10,33.70,17.10,12,12.20,5.70,6.20,8.22
152,26508665,0,61556.50,5447.40,203.50,107.60,71.20,22.80,21.10,15.90,8.80,7.10,10.94
151,45347820,414162.20,91414.10,4816.90,181.90,90,61.50,18.80,18.70,12.30,8.60,6.30,11.20
150,35802728,0,73394.50,5339.50,215.70,108.90,83.40,22.10,24.30,14.90,10.30,7,10.71
149,26717930,0,46988.70,2376.10,169.60,82.90,42.40,22.30,14.10,13.80,6,8,9.62
148,18316018,0,0,7526.90,320,151.70,93.70,30.30,27.50,18,11.20,8.40,12.41
147,10155000,0,82732.20,3798.90,218.50,114.10,54,22,16.10,15.10,6.80,7.60,10.10
146,5061750,157304.80,0,2431.90,127.80,72.20,48.40,18,15.60,13,7.60,6.50,32.17
145,0,6750278.40,68008.90,2367.60,148.70,72.70,41.30,17.90,14.20,11.20,6.60,6.40,48.52
144,103732783,479782.20,56339.70,5894.10,191.30,99.20,76.30,21,22.50,14.20,9.80,6.60,12.78
143,88344099,413010.10,93764.40,4406.20,202.70,95.40,61.30,21.80,18.80,13.80,8.60,7.10,10.96
142,76340225,314091.80,0,5942.20,201.40,93.70,76,21.70,22.90,13.10,10.40,6.80,11.37
141,65142684,1228704.80,49812.30,4640.90,212.50,101.40,66.30,23.70,19.90,14.60,8.30,7.40,13.59
140,56070560,512089,169543,5632.60,271.30,135.90,63.80,27,16.40,18,6.30,7.90,12.97
139,46854371,154107.90,28594.80,4827.70,129.40,59.90,80.50,18.50,25.10,11.10,10.80,6.60,13.05
138,40239985,0,24104.90,2600.60,135.30,56.50,46.30,18.50,16,10.50,7.20,6.80,8.94
137,31939763,421834.90,0,4597.10,226.30,104.40,74.50,25.60,20.10,15.20,8.30,7.60,15.69
136,24337182,505121.90,52125.60,4266.20,170,74.50,66.10,19.70,21,11.30,9.10,7,13.47
135,17240142,323443.70,0,4917.20,195.70,93.10,67.80,20.80,20.90,12.80,9.80,6.60,11.83
134,10155000,0,45371.70,4093.60,192.30,78.40,69.80,20.60,21.50,11.70,9.90,7,10.45
133,39013160,367453,0,5803.90,234.40,113.90,76.10,25.90,21.90,15.70,9.30,8,15.08
132,31392520,668382.20,56902.80,6774.10,275.90,119.10,81.20,25.40,24.90,15.50,10.50,7.50,15.56
131,23807666,0,0,5143,294.30,134.40,69,29.20,17.60,19.10,6.70,8.10,10.59
130,16954778,461024.70,0,3167.80,222.30,109.70,46.90,23.50,13,13.80,5.50,7.10,11.50
129,10326000,0,39485.90,3985.30,154.40,76.70,66.60,19.10,21.40,11.70,9.90,6.50,9.61
128,17191693,0,58999.90,5125.40,240.30,92.70,73.90,23.20,22.50,12.40,9.60,7.30,12.08
127,10374000,0,290856.30,3711,235.70,80.10,53.90,24.60,16.20,12.20,6.90,7.70,11.42
126,23809497,198191.40,81240.60,2763.20,164.30,92.30,45.30,20.10,13.40,14.70,6,6.60,9.26
125,40812950,770899.60,93758,4832.80,230.80,112.70,82.10,24,24.60,15,10.40,7.10,15.21
124,32403049,0,0,3866,190.20,81.50,62.40,24.50,17.90,14.70,7.40,8.10,10.24
123,24499898,163785,46479.50,3944.50,184.40,84.10,62.90,22,20.20,13.30,8.40,7.60,12.59
122,17366509,212073.80,67705.90,3335.20,181.80,76.10,47.30,20.20,15.60,11.30,7.10,7,10.78
121,10335000,302725.80,85908.60,4435.90,240.60,101.60,62.70,24.10,18.50,12.90,7.50,7.50,14.70
120,5163000,208484.20,31322.30,3169.50,199.90,86.90,44.80,24.20,13.20,14.20,5.60,7.50,10.49
119,10137000,956384.80,0,4846.50,198.50,108.40,52.40,20.70,14.80,14.20,6.50,6.50,81.28
118,8794649,0,39656.60,2672.20,140,77.90,45.40,18.60,15.10,13.50,7.30,6.50,9.24
117,10320000,472991.20,134227.20,3550.90,176.60,78,61.60,19.70,19,11,8.40,6.60,13.96
116,4492566.50,106529.50,0,1420.60,97.60,58.80,30.10,14.80,11.70,11.10,6.10,5.80,7.84
115,10440000,0,0,4051.20,273.60,130.90,60.70,27.80,17,16.10,7.30,8.40,10.72
114,17804197.80,0,300820.50,3803,241.50,116.50,54.60,25.70,17.50,15.60,7.40,8.30,122.85
113,10485000,0,43743.40,4860.30,192.10,90.40,66.70,20.50,19.80,13,8.70,6.40,10.02
112,53102939,551594.10,71151.50,5704.50,193.40,90.80,78.10,22.70,23.20,13.80,9.80,7.20,12.95
111,45191782,242648.50,0,4624.20,225.40,95.10,66.80,24.10,20,13.50,8.50,7.70,13.45
110,36196725,0,0,5922.50,282,129.30,82.20,27.10,22.90,16.30,9.10,8.10,11.34
109,26351576,0,0,4415.60,195.50,81.10,69.20,24,21.30,13.20,8.90,8,10.56
108,18470476,237063.60,67274.80,1075,119.40,68.20,25.80,16.60,10.70,12.50,5.50,6,8.88
107,10255500,0,37496.60,2921.80,179.80,75.80,42.20,21.20,12.90,12.50,5.70,7.10,8.79
106,19180108,0,0,4197.20,223.50,107.50,54.90,22.70,16.50,14.70,7.80,7.30,9.75
105,10296000,270212.50,127803.20,7303,285,127.70,87.30,25.10,24.40,15.60,10,7.70,15.03
104,42019877,179829.80,35037.40,3845.80,173.50,84.30,67.70,21.80,20.60,13.70,8.90,7.10,10.78
103,105412292,511554.50,75488.80,5663.90,227.90,95.60,71.90,23.40,21,13.20,8.90,7.40,13.48
102,87820908,291771,64799.90,4078.80,194.70,89.60,57.90,23,17.20,13.60,7.30,7.30,12.71
101,73898698,229310,71924.40,3575.50,177.70,80.10,55.70,20.80,17.60,11.80,7.90,7.10,10.80
100,61801800,154340.30,30659.40,3532.20,120.30,57.10,56.20,16.10,19.10,10.50,8.90,6,10.52
99,53342474,359803.20,81685,7115.40,234.30,99.20,82.40,25.40,22.70,14.50,9.70,7.70,13.95
98,45483082,845338.20,89959.90,6047.70,245.30,115.20,82.10,27.40,23.70,15,9.40,8.40,15.71
97,38305717,270161.90,55758.20,4660.60,200.30,84.30,79.10,20.90,22.10,12.20,10.20,6.80,13.28
96,30453067,332289.80,0,6123.20,230.60,108,69.30,24.10,19.60,15.10,7.90,7.50,12.36
95,23443437,0,0,3087.10,165.90,67.30,54.90,19.70,17.90,11.10,8.10,7,9.23
94,16846594,0,42074.40,2817.40,219.50,91.10,47.60,24,16.10,13.80,8.70,7.70,10.55
93,10312500,0,0,6641.30,227,113.70,90.90,24.10,27.30,15.80,11.50,7.50,11.09
92,30453995,962471.30,0,4645.10,272.30,131.20,63.40,27.70,15.40,17.70,5.80,7.60,16.19
91,23432048,0,89165,6947.90,320.80,135.50,82.70,31.70,21,19.20,8,9.20,12.48
90,16727964,0,0,5448,283,139.50,69.40,28.50,18.60,18.90,6.80,8.50,10.76
89,10143000,0,60706.60,5027.40,201.40,88.20,73.70,21.40,22.70,12.50,10.40,7.10,11.46
88,10215000,0,30973.40,3726.10,147.40,61.30,52.30,18.10,17,9.80,8.40,6.50,87.68
87,5167500,0,63148.60,3720,200.40,90.80,56.90,20.70,16.50,12.30,8,6.70,10.19
86,4255018,0,0,5321.80,251.20,122,77.80,26,21.30,15.70,9.20,8.30,118.20
85,10200000,868458.80,0,8187.80,298.20,127.40,77.20,28.50,21,16.50,8.30,8.20,17.99
84,51513123,360301.20,0,3651.70,176.60,79.80,54.50,19,17,11.80,8.10,6.40,10.28
83,44899448,0,68216.40,4129.30,190.10,84,77.40,21.80,23.80,13,10.50,7.20,11.01
82,39270421,0,0,5490.70,265.70,123.60,82.50,27,20.70,16,8.70,7.70,10.57
81,31534575,662874.70,70542.40,6501.60,282.20,121.30,85.90,27.60,22.60,15.10,9.10,8.10,18.01
80,24045393,0,0,7252.40,217.20,98.40,61.60,21.70,20.80,13.40,9.50,7.80,10.60
79,17327035,0,0,4676.10,208.80,94.60,69.20,23.60,21,14.10,8.80,7.60,10.32
78,10443000,0,35581.20,3258.30,155.30,65,49.30,19.90,15.10,10.70,7.20,6.90,9.50
77,79881799,0,84691.60,5041.10,229.30,106,74.60,24.30,22.10,15.80,9.30,7.30,10.83
76,67927336,931042.50,66053.60,7189.50,289.20,128.50,83.10,28.40,23.40,16.50,9.50,8.30,17.78
75,57176654,324765.60,51201.70,4140.30,181.90,83.40,56.40,19.40,17.70,12,8,6.60,11.71
74,48784765,0,0,5464.50,262.40,132,84.80,31.30,21.80,19.30,8,9.50,12.05
73,40827016,0,160184.30,3845.90,184.40,92.70,62.20,20,18.50,13.10,8.50,6.30,10.83
72,34370581,0,60580.40,6085,218.90,110.70,78.60,22.50,24.10,14.50,11.10,6.90,10.95
71,28094862,0,26393.40,3851.50,135.20,52,58.90,17.80,20.50,9.30,9.60,6.80,9.84
70,21734699,307304.60,0,5105.80,253.80,123.60,56.80,21.50,21.90,14.30,9.10,7.40,14.05
69,15902687,146416.90,83101.40,3372.60,174.30,83.60,53.50,18.90,16,12.30,7.50,6.20,11.60
68,10402500,0,0,4199,247.40,114.40,74.80,28.40,22.10,16.80,8.90,8.80,11.30
67,29611179,0,0,2561.30,157.50,75,42.40,18.30,13.60,11.40,6.30,6.40,8.08
66,22628469,0,0,6330.10,259.30,120.90,77.10,24.40,22.40,14.80,9.40,7.50,10.53
65,15917412,235015.60,66693.60,4142.40,165.90,65.10,60.10,19.70,18.30,10.30,8.60,6.60,12.92
64,10155000,0,0,6698.90,272,111.50,93.50,27.20,27.10,13.80,11.50,8.30,11.65
63,8128285.50,0,0,2953.50,143.30,70.70,43.10,17.90,14.10,11.80,6.70,6.30,8
62,10278000,0,0,5229.80,221.40,101.20,79.30,25.50,23.30,15.10,9.40,8,11.50
61,43951166,269279.20,76417,4264.30,182.40,83.40,63.10,21.20,20,12.40,9.10,7.10,12.31
60,36934606,0,0,5502.70,297.50,156.30,65.90,30.30,17,18.80,6.30,8.90,10.72
59,31323139,563793.70,0,7294.60,293.40,133.10,78.70,24.90,22.30,14.80,9,7.60,22.53
58,24623504,0,0,4293.30,233.40,126.10,56.60,25.10,15.90,17.20,6.40,7.80,9.72
57,18499838,0,51336.90,5333.70,193.60,73.70,82.60,23.30,23.90,12.30,10.30,7.60,11.67
56,12348100,0,0,4248,195.60,89.10,73.80,23.90,23.10,14.70,9.60,7.80,10.52
55,6907000,0,55111.70,5248.70,264.60,109.60,74.40,26.90,20.90,14.70,8.30,8.20,12.19
54,6903000,0,0,5915.90,317.90,146.50,105.50,29.40,30.40,16.70,12.20,8.20,12.16
53,23978705,0,0,3544,186.40,90.70,56.50,21.20,18.20,12.70,8.30,7.10,9.54
52,17823072,0,0,5136.90,162,78.20,79.70,19.50,24.70,12,11.40,6.70,9.97
51,12275202,0,0,3537.60,211.70,133.50,43.90,21.90,12.60,17,5.70,6.70,8.79
50,6970000,63544.80,0,1492.20,98,51.10,33.30,15,12,10.30,5.90,5.80,8.53
49,9148089,0,0,3601,136,61.20,58.40,17.40,19.40,10.10,9.30,6.40,9.50
48,12408063,0,0,5219.60,198.70,101.40,83.90,21,23.90,15.20,10.80,6.60,10.04
47,7074000,163899,0,6328.10,227.10,101.30,86.80,22.90,25.90,14,11.40,6.80,13.69
46,7037000,0,0,4944.40,217.80,107.80,70.70,21,19.90,14.50,8.70,6.20,9.29
45,17973434,0,0,6048.70,261.20,120.70,83.30,26.90,23,16.20,9.50,7.60,11.03
44,12388642,0,0,3991.80,188.50,77.30,52.10,18.10,16.70,10.60,7.50,6.60,8.52
43,6945000,302523.60,85851.20,5332.30,236.30,106.90,80.90,23.70,21.10,14,8.80,6.90,17.25
42,30738943,370699.10,0,4943.50,238.70,99.30,71.40,23.70,20.60,13.50,8.80,7.40,18.12
41,23523322,0,0,5580.30,272.90,117.90,66.20,28.40,18.20,16.50,7,8.30,10.66
40,17364782,292370.60,0,3435.60,157.40,66.80,51.10,16.60,16.70,9.90,7.80,5.80,13.84
39,12066841,0,0,6384.20,240.50,111.90,78.10,26.10,22.60,15.70,9.70,8,10.97
38,6967000,0,0,5366.90,352.70,148.10,78.20,29.80,21.20,16.70,8.40,8.30,11.07
37,17398554,0,0,3810.90,314.60,73.70,57,18.80,18.70,12.50,8.70,6.70,9.20
36,11885938,531285.80,0,3988.60,219.20,114.40,53.10,22.40,13.80,15.80,5.70,6.60,18.67
35,6950000,0,0,0,187.90,86,53.70,21.40,16.60,12.20,7.40,7.10,8.93
34,20656084,0,0,5098.60,239.20,111.60,72.50,24.50,20.90,16.10,8.50,7.10,9.83
33,17853153,0,0,6034.80,292.60,133.40,90.20,27.40,23.40,16.60,9.60,7.80,11.48
32,15652287,0,111556.60,3320.10,179.40,87,51.40,21.50,16.20,14.30,7,7.20,11.59
31,13705824,0,0,10256.50,239.60,130,53.80,23.10,15.40,17,6.60,7,9.43
30,11745718,0,190042.40,4378.80,192.90,87.40,61.20,18.90,20.70,11.50,9.40,6.30,13.46
29,9880576,0,0,1631.10,146.60,58.30,44.90,21.80,15.50,11.90,7.30,7.70,9.54
28,8372421,0,0,3243.10,152.20,70.40,57,18.90,19.10,11.10,9.30,6.90,9.20
27,6740000,0,0,7375.70,340.50,256.50,130.10,46.10,24.50,21.80,8.30,9,13.23
26,16568021,0,0,6045.90,179.20,154.60,87.90,26.10,22.60,15.60,9.70,6.70,10.35
25,14603161,0,0,28204.30,301.50,189.70,128,38.20,26.30,15.60,10.20,8.20,14.12
24,12787495,0,50343.70,6624.10,198.10,124.90,101.90,31.40,21.60,13.10,9,7,12.60
23,11275186,0,84330.40,6657.60,258.80,199.10,110,38.50,22.50,19.80,8.10,8.20,14.04
22,9720341,0,0,7424.80,180.10,109.20,123.80,29.30,28.50,12.10,11.70,7,11.58
21,8214347,0,114768,12080.80,310.30,156.50,129.60,35.60,25.80,13.40,9.90,7.60,15.39
20,6685000,0,0,10598.60,351,215.90,152,39.70,30.60,15.80,11.60,8.10,13.26
19,8140055,0,0,9404.70,317.20,214.10,115.90,41.90,23.30,18.90,8.70,8.40,13.19
18,6580000,0,314488.70,6208.60,164.10,119,98.20,24.60,20.90,12,9.40,6.10,21.32
17,8735476,0,0,6707.70,299.70,199,80.60,39.80,15.80,18.50,6,8.20,10.55
16,6712000,0,0,24069.50,292.10,206.20,132.80,37.50,24.80,18.70,9.50,7.40,14.33
15,6712000,0,0,10522.40,230.80,157.90,108,34.90,23.50,16.40,8.80,8.40,12.24
14,22849563,0,82064.20,8920,275.70,175.70,111.50,37.30,23,15.10,8.90,7.90,12.38
13,19983000,0,117739.30,10388.70,248.40,178.80,111.80,35.60,22.30,16.30,8.50,7.40,12.78
12,16887500,0,60513.80,7036.40,156.30,131.80,103.10,27,22.20,13,9.50,6.40,10.95
11,13390000,0,67055.10,7450.50,224,172,98.40,34.40,18.50,17,6.90,7.20,11.20
10,10027500,0,0,8751.10,231.30,125,129,36.10,28.30,14.50,11,8.10,12.42
9,16752144.80,0,0,4768.80,155.10,82.30,74.80,26,18.10,10.40,8,7.30,248.32
8,15183435,91960.80,0,6297.40,198.20,128.80,104.10,29.60,23.80,13.10,9.90,7,12.47
7,13451480,0,0,6788.30,229.60,154.60,97.80,32.10,22.30,13.50,8.90,7.40,11.17
6,11696661,388211.70,0,9995.70,305.70,197.70,138.70,43.60,25.60,18.80,9.30,8.80,21.70
5,10171500,0,0,8790.80,233.20,171.10,136.10,34.80,26.50,17.60,10,7.30,11.79
4,13870849,0,0,9966.70,295.40,212.70,129.40,40.90,24.80,18,9.20,7.70,12.29
3,11880304,0,0,17020.40,266.30,207.70,135.80,34.80,26.90,17.30,10.30,7.20,12.34
2,10111500,0,0,6979,226.90,148.10,100.10,32.90,20,15.60,7.70,7.10,10.56
1,10143000,0,112550.90,8155.80,250,167.50,140.50,39.50,29.20,17.80,10.30,8.60,14.46
